calibration_policy,calibration_val_balanced_accuracy,calibration_val_fpr,calibration_val_tpr,encoder_seed,generalization_gap_auroc,generalization_gap_bal_acc,holdout_fpr,linear_c,normalization,readout,test_clean_auroc,test_clean_balanced_accuracy,threshold,train_auroc,train_balanced_accuracy,val_clean_auroc,val_clean_balanced_accuracy,val_moderate_auroc,val_moderate_balanced_accuracy,val_onset_auroc,val_onset_balanced_accuracy,val_recovery_auroc,val_recovery_balanced_accuracy
best_balanced,0.6190476190476191,0.19047619047619047,0.42857142857142855,323,0.27223481985386744,0.11507936507936511,0.22884615384615384,nan,window_zscore,prototype,0.6099773242630385,0.5714285714285714,0.015999999999999903,0.8567019400352733,0.7341269841269842,0.5844671201814059,0.6190476190476191,0.5863095238095237,0.6011904761904762,0.6015625,0.5625,0.45833333333333337,0.4722222222222222
fpr_constrained,0.6190476190476191,0.19047619047619047,0.42857142857142855,323,0.27223481985386744,0.11507936507936511,0.22884615384615384,nan,window_zscore,prototype,0.6099773242630385,0.5714285714285714,0.015999999999999903,0.8567019400352733,0.7341269841269842,0.5844671201814059,0.6190476190476191,0.5863095238095237,0.6011904761904762,0.6015625,0.5625,0.45833333333333337,0.4722222222222222
best_balanced,0.6190476190476191,0.42857142857142855,0.6666666666666666,123,0.3009889140841522,0.19444444444444442,0.41923076923076924,nan,window_zscore,prototype,0.6663832199546484,0.6428571428571428,0.0,0.9067145376669186,0.8134920634920635,0.6057256235827664,0.6190476190476191,0.5734126984126985,0.5595238095238095,0.7734375,0.5625,0.5,0.4861111111111111
best_balanced,0.6190476190476191,0.5,0.7380952380952381,223,0.41496598639455773,0.38095238095238093,0.5461538461538461,0.01,dataset_zscore,linear,0.6405895691609977,0.5714285714285714,-0.3215656331323055,1.0,1.0,0.5850340136054423,0.6190476190476191,0.6133786848072562,0.6369047619047619,0.734375,0.625,0.05555555555555555,0.3125
best_balanced,0.6071428571428572,0.19047619047619047,0.40476190476190477,323,0.4931972789115646,0.3928571428571428,0.19615384615384615,10.0,window_zscore,linear,0.5997732426303856,0.5357142857142857,3.4695763309186494,1.0,1.0,0.5068027210884354,0.6071428571428572,0.5144557823129252,0.5773809523809523,0.8125,0.5,0.48611111111111116,0.47916666666666663
fpr_constrained,0.6071428571428572,0.19047619047619047,0.40476190476190477,323,0.4931972789115646,0.3928571428571428,0.19615384615384615,10.0,window_zscore,linear,0.5997732426303856,0.5357142857142857,3.4695763309186494,1.0,1.0,0.5068027210884354,0.6071428571428572,0.5144557823129252,0.5773809523809523,0.8125,0.5,0.48611111111111116,0.47916666666666663
best_balanced,0.6071428571428572,0.2857142857142857,0.5,323,0.42970521541950113,0.3928571428571428,0.2903846153846154,0.1,dataset_zscore,linear,0.6655328798185941,0.6190476190476191,0.9853834386162978,1.0,1.0,0.5702947845804989,0.6071428571428572,0.5909863945578231,0.5714285714285714,0.75,0.5,0.125,0.1875
best_balanced,0.6071428571428572,0.2857142857142857,0.5,323,0.429705215419501,0.3928571428571428,0.29423076923076924,10.0,dataset_zscore,linear,0.645124716553288,0.5952380952380952,2.201503808284328,1.0,1.0,0.570294784580499,0.6071428571428572,0.5887188208616779,0.5892857142857143,0.765625,0.5,0.125,0.1875
best_balanced,0.6071428571428572,0.2857142857142857,0.5,323,0.42913832199546487,0.3928571428571428,0.29615384615384616,1.0,dataset_zscore,linear,0.6507936507936508,0.5952380952380952,1.5472767781517958,1.0,1.0,0.5708616780045351,0.6071428571428572,0.5892857142857143,0.5833333333333334,0.75,0.5,0.125,0.1875
best_balanced,0.6071428571428571,0.023809523809523808,0.23809523809523808,123,0.5045351473922903,-0.04761904761904756,0.04423076923076923,10.0,window_zscore,linear,0.5929705215419502,0.5595238095238095,8.270258425220947,1.0,0.5595238095238095,0.4954648526077097,0.6071428571428571,0.4931972789115646,0.5476190476190476,0.828125,0.5,0.6527777777777778,0.6875
